ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Mechanism,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,R Dose correction factor,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Description,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake
900044,Brøsen 1986,,DGI-OHD-Brsen1986_fastNM_vs_NM,2-Hydroxydesipramine,,PO,,CYP2D6 activity score,Plasma,1.010,,,,1.990,,,,0,48.000,0,48.000,h,1,DGI ratio fast NM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 48 h; Cmax tlast 72 h.,100,,mg,PO,0,h,,,,,,,,,,,
900045,Storelli 2018,,DGI-DEX-Storelli2018_IM_vs_NM,Dextromethorphan,,PO,,CYP2D6 activity score,Plasma,3.270,,,,3.130,,,,0,24.000,0,24.000,h,1,DGI ratio AS 1 / AS 2 from Rüdesheim et al. 2025 supplement Table S13; the source study reported these groups as IM / NM. AUC tlast 24 h; Cmax tlast 24 h.,5,,mg,PO,0,h,,,,,,,,,,,
900046,Storelli 2018,,DGI-DXT-Storelli2018_IM_vs_NM,Dextrorphan,,PO,,CYP2D6 activity score,Plasma,1.330,,,,1.160,,,,0,24.000,0,24.000,h,1,DGI ratio AS 1 / AS 2 from Rüdesheim et al. 2025 supplement Table S13; the source study reported these groups as IM / NM. AUC tlast 24 h; Cmax tlast 24 h.,5,,mg,PO,0,h,,,,,,,,,,,
900047,Qiu 2016,,DGI-DEX-Qiu2016_AS0.5_vs_AS2,Dextromethorphan,,PO,,CYP2D6 activity score,Plasma,11.060,,,,12.170,,,,0,24.000,0,24.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 12 h.,15,,mg,PO,0,h,,,,,,,,,,,
900048,Qiu 2016,,DGI-DEX-Qiu2016_AS1.25_vs_AS2,Dextromethorphan,,PO,,CYP2D6 activity score,Plasma,3.100,,,,3.230,,,,0,24.000,0,24.000,h,1,DGI ratio AS1.25 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 12 h.,15,,mg,PO,0,h,,,,,,,,,,,
900049,Yamazaki 2017,,DGI-DEX-Yamazaki2017_AS0.5_vs_AS2,Dextromethorphan,,PO,,CYP2D6 activity score,Plasma,7.670,,,,5.840,,,,0,24.000,0,24.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 24 h.,30,,mg,PO,0,h,,,,,,,,,,,
900050,Capon 1996,,DGI-DEX-Capon1996_PM_vs_NM,Dextromethorphan,,PO,,CYP2D6 activity score,Plasma,5.820,,,,5.710,,,,0,168.000,0,168.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 168 h; Cmax tlast 48 h.,30,,mg,PO,0,h,,,,,,,,,,,
900051,Gorski 2004,,DGI-DEX-Gorski2004_PM_vs_NM,Dextromethorphan,,PO,,CYP2D6 activity score,Plasma,14.290,,,,8.110,,,,0,12.000,0,12.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 12 h; Cmax tlast 12 h.,30,,mg,PO,0,h,,,,,,,,,,,
900052,Leemann 1993,,DGI-MET-Leemann1993_PM_vs_NM,Metoprolol racemate,,IV,,CYP2D6 activity score,Plasma,2.110,,,,1.400,,,,0,8.000,0,8.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 8 h; Cmax tlast 8 h.,20,,mg,IV,0,h,,,,,,,,,,,
900053,Bae 2014,,DGI-MET-Bae2014_AS0.5_vs_AS2,Metoprolol racemate,,PO,,CYP2D6 activity score,Plasma,0.310,,,,0.230,,,,0,24.000,0,24.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900054,Bae 2014,,DGI-OHM-Bae2014_AS0.5_vs_AS2,alpha-Hydroxymetoprolol,,PO,,CYP2D6 activity score,Plasma,5.580,,,,2.770,,,,0,24.000,0,24.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900055,Jin 2008,,DGI-MET-Jin2008_AS0.5_vs_AS2,Metoprolol racemate,,PO,,CYP2D6 activity score,Plasma,4.490,,,,3.180,,,,0,24.000,0,24.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
